ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600076.SH,20200408,3.86,3.88,3.84,3.86,3.89,-0.03000000000000025,-0.7712,81286.57,31373.57
600076.SH,20200407,3.85,3.9,3.84,3.89,3.82,0.07000000000000028,1.8325,112092.82,43374.759
600076.SH,20200403,3.82,3.86,3.8,3.82,3.82,0.0,0.0,77624.82,29716.877
600076.SH,20200402,3.76,3.84,3.76,3.82,3.8,0.020000000000000018,0.5263,48353.82,18371.431
600076.SH,20200401,3.83,3.84,3.77,3.8,3.83,-0.03000000000000025,-0.7833,60035.39,22867.508
600076.SH,20200331,3.79,3.86,3.79,3.83,3.78,0.050000000000000266,1.3228,68394.02,26164.5
600076.SH,20200330,3.78,3.83,3.74,3.78,3.82,-0.040000000000000036,-1.0471,72602.64,27448.245
600076.SH,20200327,3.87,3.89,3.81,3.82,3.85,-0.03000000000000025,-0.7792,80253.01,30844.142
600076.SH,20200326,3.83,3.92,3.81,3.85,3.86,-0.009999999999999787,-0.2591,108782.94,42010.245
600076.SH,20200325,3.84,3.87,3.81,3.86,3.78,0.08000000000000007,2.1164,108675.34,41694.661
600076.SH,20200324,3.76,3.81,3.69,3.78,3.71,0.06999999999999984,1.8868,79502.08,29857.466
600076.SH,20200323,3.75,3.81,3.7,3.71,3.82,-0.10999999999999988,-2.8796,113515.37,42646.942
600076.SH,20200320,3.83,3.85,3.76,3.82,3.81,0.009999999999999787,0.2625,96685.8,36831.387
600076.SH,20200319,3.79,3.83,3.74,3.81,3.83,-0.020000000000000018,-0.5222,155479.69,58830.847
600076.SH,20200318,4.01,4.05,3.83,3.83,4.0,-0.16999999999999993,-4.25,230343.1,91001.112
600076.SH,20200317,4.05,4.11,3.89,4.0,4.05,-0.04999999999999982,-1.2346,244566.1,97254.036
600076.SH,20200316,4.16,4.3,4.05,4.05,4.13,-0.08000000000000007,-1.937,458887.34,191836.798
600076.SH,20200313,3.79,4.17,3.73,4.13,3.96,0.16999999999999993,4.2929,310418.71,124105.92
600076.SH,20200312,4.0,4.02,3.92,3.96,4.04,-0.08000000000000007,-1.9802,127656.0,50666.273
600076.SH,20200311,4.09,4.17,4.04,4.04,4.08,-0.040000000000000036,-0.9804,173209.0,70940.749
600076.SH,20200310,3.93,4.09,3.86,4.08,3.98,0.10000000000000009,2.5126,167408.65,66613.022
600076.SH,20200309,4.08,4.11,3.98,3.98,4.13,-0.1499999999999999,-3.632,163894.79,66180.879
600076.SH,20200306,4.07,4.15,4.05,4.13,4.13,0.0,0.0,158293.75,64861.608
600076.SH,20200305,4.11,4.15,4.04,4.13,4.08,0.04999999999999982,1.2255,217620.09,89209.775
600076.SH,20200304,3.91,4.1,3.89,4.08,3.94,0.14000000000000012,3.5533,221888.01,88761.375
600076.SH,20200303,3.91,4.0,3.89,3.94,3.86,0.08000000000000007,2.0725,208606.07,82469.081
600076.SH,20200302,3.73,3.88,3.73,3.86,3.71,0.1499999999999999,4.0431,114685.16,43885.669
600076.SH,20200228,3.85,3.86,3.7,3.71,3.94,-0.22999999999999998,-5.8376,183780.37,69635.608
600076.SH,20200227,3.94,3.98,3.92,3.94,3.95,-0.010000000000000231,-0.2532,90673.06,35824.903
600076.SH,20200226,3.9,4.0,3.87,3.95,3.94,0.010000000000000231,0.2538,144486.01,57051.89
600076.SH,20200225,3.95,3.99,3.84,3.94,4.04,-0.10000000000000009,-2.4752,172667.82,67809.257
600076.SH,20200224,4.0,4.11,3.95,4.04,4.01,0.03000000000000025,0.7481,217015.33,87230.517
600076.SH,20200221,4.0,4.03,3.97,4.01,4.01,0.0,0.0,172491.1,68914.843
600076.SH,20200220,3.95,4.01,3.93,4.01,3.94,0.06999999999999984,1.7766,174777.33,69481.816
600076.SH,20200219,4.0,4.03,3.93,3.94,4.01,-0.06999999999999984,-1.7456,218798.45,86770.235
600076.SH,20200218,3.93,4.02,3.91,4.01,3.94,0.06999999999999984,1.7766,183271.6,72777.429
600076.SH,20200217,3.85,3.94,3.85,3.94,3.84,0.10000000000000009,2.6042,131602.92,51413.573
600076.SH,20200214,3.84,3.89,3.82,3.84,3.84,0.0,0.0,74413.12,28639.224
600076.SH,20200213,3.89,3.91,3.84,3.84,3.92,-0.08000000000000007,-2.0408,83217.03,32188.133
600076.SH,20200212,3.9,3.92,3.86,3.92,3.91,0.009999999999999787,0.2558,90742.63,35341.008
600076.SH,20200211,3.95,3.95,3.85,3.91,3.94,-0.029999999999999805,-0.7614,112649.66,43824.159
600076.SH,20200210,3.76,3.94,3.74,3.94,3.78,0.16000000000000014,4.2328,137046.16,52937.634
600076.SH,20200207,3.73,3.78,3.69,3.78,3.73,0.04999999999999982,1.3405,102170.49,38125.058
600076.SH,20200206,3.68,3.75,3.64,3.73,3.68,0.04999999999999982,1.3587,113724.31,42226.574
600076.SH,20200205,3.65,3.76,3.63,3.68,3.64,0.040000000000000036,1.0989,140274.51,51915.865
600076.SH,20200204,3.45,3.69,3.45,3.64,3.78,-0.13999999999999968,-3.7037,199620.63,72232.262
600076.SH,20200203,3.78,3.78,3.78,3.78,4.2,-0.4200000000000004,-10.0,33095.0,12509.91
600076.SH,20200123,4.33,4.36,4.18,4.2,4.38,-0.17999999999999972,-4.1096,136898.57,58316.357
600076.SH,20200122,4.37,4.38,4.29,4.38,4.38,0.0,0.0,113849.03,49469.86
600076.SH,20200121,4.47,4.47,4.37,4.38,4.48,-0.10000000000000053,-2.2321,105428.0,46487.891
600076.SH,20200120,4.45,4.49,4.45,4.48,4.44,0.040000000000000036,0.9009,65760.48,29366.652
600076.SH,20200117,4.5,4.5,4.44,4.44,4.47,-0.02999999999999936,-0.6711,72022.6,32153.217
600076.SH,20200116,4.52,4.54,4.47,4.47,4.52,-0.04999999999999982,-1.1062,102324.0,45966.624
600076.SH,20200115,4.58,4.59,4.49,4.52,4.59,-0.07000000000000028,-1.5251,110440.93,50021.959
600076.SH,20200114,4.62,4.64,4.55,4.59,4.62,-0.03000000000000025,-0.6494,136886.23,62795.058
600076.SH,20200113,4.55,4.67,4.53,4.62,4.54,0.08000000000000007,1.7621,164507.12,75749.964
600076.SH,20200110,4.55,4.62,4.51,4.54,4.55,-0.009999999999999787,-0.2198,127859.01,58289.853
600076.SH,20200109,4.47,4.64,4.46,4.55,4.44,0.10999999999999943,2.4775,196995.87,89420.907
600076.SH,20200108,4.51,4.52,4.43,4.44,4.53,-0.08999999999999986,-1.9868,105121.82,46969.072
600076.SH,20200107,4.51,4.55,4.49,4.53,4.51,0.020000000000000462,0.4435,152865.97,69116.055
600076.SH,20200106,4.49,4.53,4.46,4.51,4.51,0.0,0.0,178835.66,80387.018
600076.SH,20200103,4.52,4.57,4.49,4.51,4.53,-0.020000000000000462,-0.4415,173050.68,78330.884
600076.SH,20200102,4.41,4.55,4.39,4.53,4.39,0.14000000000000057,3.1891,249243.93,111722.277
600076.SH,20191231,4.3,4.42,4.29,4.39,4.31,0.08000000000000007,1.8561,185037.21,80681.059
600076.SH,20191230,4.3,4.32,4.26,4.31,4.32,-0.010000000000000675,-0.2315,104468.95,44780.177
600076.SH,20191227,4.35,4.37,4.32,4.32,4.35,-0.02999999999999936,-0.6897,126835.38,55067.071
600076.SH,20191226,4.32,4.37,4.29,4.35,4.34,0.009999999999999787,0.2304,98190.34,42512.646
600076.SH,20191225,4.29,4.34,4.27,4.34,4.31,0.03000000000000025,0.6961,93592.31,40234.005
600076.SH,20191224,4.27,4.32,4.26,4.31,4.27,0.040000000000000036,0.9368,60100.0,25786.891
600076.SH,20191223,4.32,4.37,4.24,4.27,4.32,-0.05000000000000071,-1.1574,89476.71,38584.153
600076.SH,20191220,4.37,4.41,4.31,4.32,4.37,-0.04999999999999982,-1.1442,74666.0,32543.26
600076.SH,20191219,4.33,4.38,4.33,4.37,4.34,0.03000000000000025,0.6912,87265.6,38022.203
600076.SH,20191218,4.32,4.38,4.31,4.34,4.33,0.009999999999999787,0.2309,115857.16,50362.831
600076.SH,20191217,4.31,4.37,4.28,4.33,4.31,0.020000000000000462,0.464,122552.29,52952.424
600076.SH,20191216,4.26,4.32,4.26,4.31,4.25,0.05999999999999961,1.4118,100168.67,42881.827
600076.SH,20191213,4.23,4.26,4.21,4.25,4.21,0.040000000000000036,0.9501,70169.28,29729.572
600076.SH,20191212,4.23,4.23,4.2,4.21,4.23,-0.020000000000000462,-0.4728,61934.0,26097.758
600076.SH,20191211,4.24,4.25,4.22,4.23,4.23,0.0,0.0,53200.0,22511.545
600076.SH,20191210,4.25,4.26,4.22,4.23,4.25,-0.019999999999999574,-0.4706,60026.02,25422.632
600076.SH,20191209,4.27,4.28,4.23,4.25,4.27,-0.019999999999999574,-0.4684,71559.93,30409.36
600076.SH,20191206,4.28,4.39,4.25,4.27,4.26,0.009999999999999787,0.2347,102552.65,44063.261
600076.SH,20191205,4.18,4.27,4.18,4.26,4.16,0.09999999999999964,2.4038,105756.18,44784.914
600076.SH,20191204,4.18,4.2,4.15,4.16,4.19,-0.03000000000000025,-0.716,43344.19,18073.092
600076.SH,20191203,4.2,4.21,4.13,4.19,4.22,-0.02999999999999936,-0.7109,59603.7,24877.944
600076.SH,20191202,4.21,4.24,4.2,4.22,4.21,0.009999999999999787,0.2375,57445.37,24254.857
600076.SH,20191129,4.19,4.22,4.16,4.21,4.19,0.019999999999999574,0.4773,48804.64,20484.949
600076.SH,20191128,4.19,4.26,4.18,4.19,4.19,0.0,0.0,71071.19,29932.595
600076.SH,20191127,4.2,4.21,4.17,4.19,4.19,0.0,0.0,44517.0,18657.679
600076.SH,20191126,4.16,4.2,4.15,4.19,4.17,0.020000000000000462,0.4796,47440.0,19823.597
600076.SH,20191125,4.17,4.19,4.11,4.17,4.15,0.019999999999999574,0.4819,54452.0,22622.633
600076.SH,20191122,4.2,4.25,4.13,4.15,4.18,-0.02999999999999936,-0.7177,79740.0,33348.065
600076.SH,20191121,4.19,4.21,4.16,4.18,4.17,0.009999999999999787,0.2398,48504.35,20285.275
600076.SH,20191120,4.24,4.24,4.16,4.17,4.19,-0.020000000000000462,-0.4773,43432.0,18198.209
600076.SH,20191119,4.14,4.2,4.11,4.19,4.12,0.07000000000000028,1.699,57927.63,24113.167
600076.SH,20191118,4.15,4.16,4.1,4.12,4.11,0.009999999999999787,0.2433,62836.0,25898.447
600076.SH,20191115,4.19,4.21,4.11,4.11,4.19,-0.08000000000000007,-1.9093,61949.0,25786.978
600076.SH,20191114,4.19,4.25,4.16,4.19,4.19,0.0,0.0,64095.03,26859.078
600076.SH,20191113,4.31,4.33,4.17,4.19,4.34,-0.14999999999999947,-3.4562,160341.19,67564.621
600076.SH,20191112,4.47,4.57,4.31,4.34,4.35,-0.009999999999999787,-0.2299,191201.57,83883.043
600076.SH,20191111,4.34,4.46,4.31,4.35,4.37,-0.020000000000000462,-0.4577,123692.74,54270.235
600076.SH,20191108,4.46,4.49,4.36,4.37,4.43,-0.05999999999999961,-1.3544,136916.96,60725.031
600076.SH,20191107,4.37,4.44,4.34,4.43,4.36,0.0699999999999994,1.6055,159811.11,70256.714
600076.SH,20191106,4.27,4.43,4.25,4.36,4.26,0.10000000000000053,2.3474,187199.6,81262.045
600076.SH,20191105,4.24,4.29,4.22,4.26,4.23,0.02999999999999936,0.7092,60494.97,25741.357
600076.SH,20191104,4.26,4.33,4.22,4.23,4.27,-0.03999999999999915,-0.9368,79939.58,34220.091
600076.SH,20191101,4.24,4.28,4.2,4.27,4.25,0.019999999999999574,0.4706,42053.41,17846.843
600076.SH,20191031,4.28,4.31,4.23,4.25,4.27,-0.019999999999999574,-0.4684,49727.9,21274.805
600076.SH,20191030,4.32,4.34,4.26,4.27,4.33,-0.0600000000000005,-1.3857,54652.83,23424.368
600076.SH,20191029,4.35,4.37,4.31,4.33,4.35,-0.019999999999999574,-0.4598,60424.24,26215.595
600076.SH,20191028,4.33,4.39,4.31,4.35,4.33,0.019999999999999574,0.4619,90486.88,39311.808
600076.SH,20191025,4.24,4.33,4.23,4.33,4.24,0.08999999999999986,2.1226,118003.73,50542.963
600076.SH,20191024,4.19,4.26,4.17,4.24,4.19,0.04999999999999982,1.1933,45962.28,19397.418
600076.SH,20191023,4.19,4.22,4.18,4.19,4.19,0.0,0.0,36667.0,15397.894
600076.SH,20191022,4.21,4.21,4.16,4.19,4.17,0.020000000000000462,0.4796,42515.88,17757.142
600076.SH,20191021,4.2,4.22,4.15,4.17,4.23,-0.0600000000000005,-1.4184,68032.43,28373.627
