ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
002965.SZ,20200218,36.9,37.57,36.64,37.45,37.22,0.23000000000000398,0.6179,58960.58,218611.106
002965.SZ,20200217,35.96,37.67,35.91,37.22,36.41,0.8100000000000023,2.2247,63830.99,235374.115
002965.SZ,20200214,34.7,36.98,34.7,36.41,34.66,1.75,5.049,65682.01,236502.748
002965.SZ,20200213,34.65,35.57,34.53,34.66,34.94,-0.28000000000000114,-0.8014,38908.59,136398.963
002965.SZ,20200212,34.12,35.25,34.01,34.94,34.59,0.3499999999999943,1.0119,36810.99,127935.574
002965.SZ,20200211,35.76,35.78,34.21,34.59,35.37,-0.779999999999994,-2.2053,38757.84,134562.68
002965.SZ,20200210,34.21,35.58,34.08,35.37,34.2,1.1699999999999946,3.4211,47833.65,167163.095
002965.SZ,20200207,33.8,34.44,33.4,34.2,33.85,0.3500000000000014,1.034,41827.06,141771.742
002965.SZ,20200206,32.79,34.26,32.51,33.85,33.63,0.21999999999999886,0.6542,52834.17,176391.171
002965.SZ,20200205,33.29,34.97,32.6,33.63,33.1,0.5300000000000011,1.6012,61033.99,207555.509
002965.SZ,20200204,31.01,33.55,31.01,33.1,30.83,2.270000000000003,7.363,63153.34,204732.796
002965.SZ,20200203,30.83,31.49,30.83,30.83,34.25,-3.4200000000000017,-9.9854,52558.96,162476.364
002965.SZ,20200123,36.32,36.77,33.5,34.25,36.92,-2.6700000000000017,-7.2319,67189.5,236542.569
002965.SZ,20200122,35.75,37.68,35.55,36.92,35.89,1.0300000000000011,2.8699,52326.28,192887.488
002965.SZ,20200121,37.4,37.52,35.83,35.89,37.65,-1.759999999999998,-4.6746,54885.76,200414.463
002965.SZ,20200120,37.24,37.74,36.4,37.65,37.25,0.3999999999999986,1.0738,45822.53,170557.438
002965.SZ,20200117,38.3,38.96,37.13,37.25,38.2,-0.9500000000000028,-2.4869,70747.38,268072.875
002965.SZ,20200116,37.7,39.17,37.52,38.2,37.92,0.28000000000000114,0.7384,89460.67,343136.119
002965.SZ,20200115,38.3,38.99,37.58,37.92,39.8,-1.8799999999999955,-4.7236,113792.95,434909.508
002965.SZ,20200114,36.7,39.8,36.4,39.8,36.18,3.6199999999999974,10.0055,150315.79,580162.352
002965.SZ,20200113,35.36,36.23,35.18,36.18,35.23,0.9500000000000028,2.6966,55427.06,198354.17
002965.SZ,20200110,36.0,36.2,34.85,35.23,36.33,-1.1000000000000014,-3.0278,65591.46,231747.335
002965.SZ,20200109,37.49,37.78,36.1,36.33,36.85,-0.5200000000000031,-1.4111,75180.73,274859.745
002965.SZ,20200108,37.0,38.2,36.72,36.85,36.85,0.0,0.0,99948.37,373828.842
002965.SZ,20200107,37.0,37.58,36.32,36.85,37.45,-0.6000000000000014,-1.6021,87286.29,322340.779
002965.SZ,20200106,35.34,38.5,35.34,37.45,35.7,1.75,4.902,124064.32,463512.389
002965.SZ,20200103,36.65,36.85,35.63,35.7,36.62,-0.9199999999999946,-2.5123,86618.65,313869.953
002965.SZ,20200102,36.95,38.49,36.37,36.62,36.99,-0.37000000000000455,-1.0003,120475.59,448585.134
002965.SZ,20191231,35.8,37.68,35.36,36.99,35.21,1.7800000000000011,5.0554,102419.96,372533.367
002965.SZ,20191230,34.67,36.56,34.45,35.21,34.83,0.38000000000000256,1.091,77958.53,276660.665
002965.SZ,20191227,34.62,35.08,34.11,34.83,34.82,0.00999999999999801,0.0287,62294.79,214759.885
002965.SZ,20191226,34.58,35.1,34.1,34.82,34.43,0.39000000000000057,1.1327,71637.19,248862.934
002965.SZ,20191225,34.2,34.65,33.53,34.43,34.0,0.4299999999999997,1.2647,74746.33,255179.371
002965.SZ,20191224,33.04,34.18,33.04,34.0,33.23,0.7700000000000031,2.3172,65638.25,221335.973
002965.SZ,20191223,32.64,33.65,31.9,33.23,32.82,0.4099999999999966,1.2492,61560.17,203162.964
002965.SZ,20191220,32.69,33.46,32.57,32.82,32.65,0.1700000000000017,0.5207,50953.52,168146.566
002965.SZ,20191219,32.89,33.01,32.13,32.65,32.95,-0.30000000000000426,-0.9105,46894.27,152606.841
002965.SZ,20191218,32.73,33.19,32.52,32.95,32.75,0.20000000000000284,0.6107,49167.46,161846.389
002965.SZ,20191217,32.66,32.96,32.38,32.75,32.56,0.18999999999999773,0.5835,46879.13,153358.07
002965.SZ,20191216,32.15,32.73,32.05,32.56,31.86,0.7000000000000028,2.1971,43503.44,141225.155
002965.SZ,20191213,32.15,32.55,31.69,31.86,32.05,-0.18999999999999773,-0.5928,51236.57,164506.395
002965.SZ,20191212,33.52,33.55,32.02,32.05,33.63,-1.5800000000000054,-4.6982,75936.78,247844.259
002965.SZ,20191211,34.35,34.48,33.61,33.63,34.54,-0.9099999999999966,-2.6346,50815.52,172921.932
002965.SZ,20191210,34.1,34.59,33.61,34.54,34.21,0.3299999999999983,0.9646,57924.65,197945.865
002965.SZ,20191209,33.9,34.21,33.53,34.21,33.84,0.36999999999999744,1.0934,50558.8,171376.713
002965.SZ,20191206,34.58,34.75,33.53,33.84,34.77,-0.9299999999999997,-2.6747,66071.26,224822.316
002965.SZ,20191205,34.18,35.5,33.9,34.77,33.95,0.8200000000000003,2.4153,76416.65,265941.503
002965.SZ,20191204,33.33,34.5,33.2,33.95,33.75,0.20000000000000284,0.5926,51713.11,175822.512
002965.SZ,20191203,33.5,33.87,32.88,33.75,34.0,-0.25,-0.7353,44783.56,150144.98
002965.SZ,20191202,33.88,34.09,33.1,34.0,34.0,0.0,0.0,54465.58,183129.48
002965.SZ,20191129,33.33,34.24,32.7,34.0,33.71,0.28999999999999915,0.8603,58611.59,196720.761
002965.SZ,20191128,34.66,35.04,33.51,33.71,35.01,-1.2999999999999972,-3.7132,60763.48,207824.225
002965.SZ,20191127,33.81,35.07,33.81,35.01,34.25,0.759999999999998,2.219,63667.83,219536.838
002965.SZ,20191126,35.29,35.94,33.76,34.25,35.65,-1.3999999999999986,-3.9271,79697.21,277516.155
002965.SZ,20191125,37.12,37.5,34.8,35.65,37.54,-1.8900000000000006,-5.0346,79877.32,287811.127
002965.SZ,20191122,37.08,38.2,35.85,37.54,37.84,-0.30000000000000426,-0.7928,114013.51,423762.609
002965.SZ,20191121,37.21,38.95,36.47,37.84,37.9,-0.05999999999999517,-0.1583,137556.41,516130.283
002965.SZ,20191120,38.25,41.2,37.57,37.9,37.57,0.3299999999999983,0.8784,208235.68,810387.729
002965.SZ,20191119,33.7,37.57,33.27,37.57,34.15,3.4200000000000017,10.0146,113119.7,400632.587
002965.SZ,20191118,34.01,35.28,33.8,34.15,33.77,0.37999999999999545,1.1253,68921.35,237108.465
002965.SZ,20191115,36.25,36.5,33.29,33.77,36.58,-2.809999999999995,-7.6818,106909.87,373585.611
002965.SZ,20191114,37.4,37.68,36.38,36.58,37.52,-0.9400000000000048,-2.5053,95601.99,352598.241
002965.SZ,20191113,36.22,37.53,35.74,37.52,36.84,0.6799999999999997,1.8458,116897.74,429639.232
002965.SZ,20191112,34.95,36.98,34.9,36.84,34.98,1.8600000000000065,5.3173,117206.67,425028.807
002965.SZ,20191111,36.0,36.03,34.56,34.98,36.68,-1.7000000000000028,-4.6347,90857.06,319052.393
002965.SZ,20191108,36.99,38.37,36.03,36.68,36.7,-0.020000000000003126,-0.0545,139077.63,519599.786
002965.SZ,20191107,34.86,37.94,34.6,36.7,35.57,1.1300000000000026,3.1768,139920.48,507005.893
002965.SZ,20191106,34.39,36.55,34.37,35.57,34.24,1.3299999999999983,3.8843,125929.59,448012.177
002965.SZ,20191105,34.53,35.49,34.08,34.24,35.58,-1.3399999999999963,-3.7662,102562.58,355558.472
002965.SZ,20191104,33.19,35.97,33.0,35.58,33.0,2.5799999999999983,7.8182,125254.14,430268.046
002965.SZ,20191101,32.65,34.7,32.23,33.0,34.79,-1.7899999999999991,-5.1452,115035.33,383141.197
002965.SZ,20191031,41.93,41.93,34.4,34.79,38.12,-3.3299999999999983,-8.7356,184385.34,664458.043
002965.SZ,20191030,38.12,38.12,38.12,38.12,34.65,3.469999999999999,10.0144,1176.74,4485.732
002965.SZ,20191029,34.65,34.65,34.65,34.65,31.5,3.1499999999999986,10.0,361.0,1250.865
002965.SZ,20191028,31.5,31.5,31.5,31.5,28.64,2.8599999999999994,9.986,334.83,1054.714
002965.SZ,20191025,23.87,28.64,23.87,28.64,19.89,8.75,43.992,822.37,2347.433
