ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000627.SZ,20200408,5.75,5.75,5.67,5.7,5.75,-0.04999999999999982,-0.8696,159737.99,91042.996
000627.SZ,20200407,5.75,5.76,5.69,5.75,5.69,0.05999999999999961,1.0545,220311.66,126193.935
000627.SZ,20200403,5.72,5.72,5.61,5.69,5.74,-0.04999999999999982,-0.8711,178849.54,101306.669
000627.SZ,20200402,5.66,5.75,5.6,5.74,5.71,0.03000000000000025,0.5254,229436.28,130240.181
000627.SZ,20200401,5.86,5.94,5.63,5.71,5.92,-0.20999999999999996,-3.5473,362589.26,209479.093
000627.SZ,20200331,6.0,6.06,5.92,5.92,5.99,-0.07000000000000028,-1.1686,107100.0,64072.934
000627.SZ,20200330,5.85,6.01,5.83,5.99,5.88,0.11000000000000032,1.8707,168269.04,99779.034
000627.SZ,20200327,5.99,6.01,5.88,5.88,5.93,-0.04999999999999982,-0.8432,78404.67,46615.893
000627.SZ,20200326,6.05,6.05,5.93,5.93,6.07,-0.14000000000000057,-2.3064,99784.09,59642.938
000627.SZ,20200325,6.14,6.17,6.02,6.07,6.05,0.020000000000000462,0.3306,159632.4,97060.954
000627.SZ,20200324,6.0,6.07,5.91,6.05,5.92,0.1299999999999999,2.1959,142944.07,85824.267
000627.SZ,20200323,5.9,6.0,5.87,5.92,6.03,-0.11000000000000032,-1.8242,129150.01,76658.891
000627.SZ,20200320,5.88,6.04,5.84,6.03,5.88,0.15000000000000036,2.551,154525.78,91829.636
000627.SZ,20200319,5.8,5.88,5.64,5.88,5.87,0.009999999999999787,0.1704,189567.81,109140.925
000627.SZ,20200318,5.95,5.97,5.81,5.87,5.94,-0.07000000000000028,-1.1785,110884.27,65430.599
000627.SZ,20200317,5.89,5.99,5.75,5.94,5.88,0.0600000000000005,1.0204,110166.84,64778.526
000627.SZ,20200316,6.12,6.13,5.87,5.88,6.08,-0.20000000000000018,-3.2895,168248.98,100797.876
000627.SZ,20200313,5.88,6.16,5.82,6.08,6.08,0.0,0.0,201839.71,121167.857
000627.SZ,20200312,6.0,6.15,5.96,6.08,6.05,0.03000000000000025,0.4959,212614.59,128622.837
000627.SZ,20200311,6.16,6.18,6.05,6.05,6.18,-0.1299999999999999,-2.1036,121729.02,74341.518
000627.SZ,20200310,5.92,6.2,5.9,6.18,5.97,0.20999999999999996,3.5176,238850.21,144606.14
000627.SZ,20200309,6.08,6.13,5.96,5.97,6.19,-0.22000000000000064,-3.5541,202357.35,122163.115
000627.SZ,20200306,6.18,6.26,6.12,6.19,6.29,-0.09999999999999964,-1.5898,187835.15,116059.484
000627.SZ,20200305,6.13,6.43,6.07,6.29,6.1,0.1900000000000004,3.1148,346715.09,216716.091
000627.SZ,20200304,6.0,6.11,6.0,6.1,6.05,0.04999999999999982,0.8264,171692.65,104275.783
000627.SZ,20200303,6.11,6.16,6.02,6.05,6.06,-0.009999999999999787,-0.165,174109.18,106050.64
000627.SZ,20200302,5.92,6.1,5.92,6.06,5.96,0.09999999999999964,1.6779,165984.77,100233.664
000627.SZ,20200228,6.08,6.1,5.84,5.96,6.19,-0.23000000000000043,-3.7157,220690.66,131398.555
000627.SZ,20200227,6.2,6.28,6.17,6.19,6.2,-0.009999999999999787,-0.1613,102624.15,63704.856
000627.SZ,20200226,6.13,6.29,6.1,6.2,6.22,-0.019999999999999574,-0.3215,216673.74,134592.538
000627.SZ,20200225,6.26,6.29,6.08,6.22,6.37,-0.15000000000000036,-2.3548,291785.28,180613.19
000627.SZ,20200224,6.42,6.43,6.32,6.37,6.48,-0.11000000000000032,-1.6975,203176.6,129589.548
000627.SZ,20200221,6.51,6.62,6.41,6.48,6.54,-0.05999999999999961,-0.9174,221037.02,143633.713
000627.SZ,20200220,6.29,6.59,6.26,6.54,6.29,0.25,3.9746,224211.64,143996.417
000627.SZ,20200219,6.25,6.45,6.21,6.29,6.21,0.08000000000000007,1.2882,165375.54,104918.212
000627.SZ,20200218,6.26,6.32,6.18,6.21,6.28,-0.07000000000000028,-1.1146,128338.55,80036.014
000627.SZ,20200217,6.09,6.32,6.07,6.28,6.07,0.20999999999999996,3.4596,213126.34,132336.537
000627.SZ,20200214,6.06,6.14,6.0,6.07,6.05,0.020000000000000462,0.3306,95007.64,57686.227
000627.SZ,20200213,6.09,6.12,6.04,6.05,6.11,-0.0600000000000005,-0.982,158404.99,96308.181
000627.SZ,20200212,6.06,6.15,6.02,6.11,6.07,0.040000000000000036,0.659,126916.23,77416.261
000627.SZ,20200211,6.04,6.2,6.03,6.07,6.04,0.03000000000000025,0.4967,150415.59,91989.828
000627.SZ,20200210,6.01,6.06,5.96,6.04,6.06,-0.019999999999999574,-0.33,114774.92,69024.003
000627.SZ,20200207,6.01,6.07,5.93,6.06,6.09,-0.03000000000000025,-0.4926,145445.83,87099.447
000627.SZ,20200206,5.94,6.09,5.85,6.09,5.92,0.16999999999999993,2.8716,201201.99,120093.21
000627.SZ,20200205,5.85,6.06,5.78,5.92,5.85,0.07000000000000028,1.1966,240112.01,142346.709
000627.SZ,20200204,5.75,6.0,5.7,5.85,5.83,0.019999999999999574,0.3431,249308.49,145869.275
000627.SZ,20200203,5.83,5.93,5.83,5.83,6.48,-0.6500000000000004,-10.0309,164468.9,95980.109
000627.SZ,20200123,6.76,6.76,6.43,6.48,6.76,-0.27999999999999936,-4.142,154163.48,101443.78
000627.SZ,20200122,6.78,6.81,6.67,6.76,6.82,-0.0600000000000005,-0.8798,86169.47,58155.347
000627.SZ,20200121,6.83,6.85,6.74,6.82,6.84,-0.019999999999999574,-0.2924,97525.59,66167.007
000627.SZ,20200120,6.73,6.85,6.72,6.84,6.7,0.13999999999999968,2.0896,81490.09,55433.882
000627.SZ,20200117,6.81,6.84,6.7,6.7,6.81,-0.10999999999999943,-1.6153,118368.33,79989.422
000627.SZ,20200116,6.88,6.89,6.8,6.81,6.89,-0.08000000000000007,-1.1611,72710.95,49620.182
000627.SZ,20200115,6.89,6.94,6.84,6.89,6.93,-0.040000000000000036,-0.5772,95940.01,65913.674
000627.SZ,20200114,6.96,7.0,6.91,6.93,6.94,-0.010000000000000675,-0.1441,100852.32,70175.089
000627.SZ,20200113,6.89,6.95,6.85,6.94,6.88,0.0600000000000005,0.8721,96187.71,66280.597
000627.SZ,20200110,6.95,6.98,6.88,6.88,6.92,-0.040000000000000036,-0.578,75525.79,52270.056
000627.SZ,20200109,6.94,7.0,6.88,6.92,6.9,0.019999999999999574,0.2899,116889.89,80909.167
000627.SZ,20200108,7.0,7.03,6.88,6.9,7.05,-0.14999999999999947,-2.1277,146767.14,101919.824
000627.SZ,20200107,7.02,7.08,7.0,7.05,7.02,0.03000000000000025,0.4274,117686.75,82818.237
000627.SZ,20200106,7.02,7.06,6.95,7.02,7.04,-0.020000000000000462,-0.2841,159472.1,111741.498
000627.SZ,20200103,7.06,7.14,7.01,7.04,7.04,0.0,0.0,106738.22,75349.758
000627.SZ,20200102,7.09,7.16,7.03,7.04,7.04,0.0,0.0,164144.86,116516.347
000627.SZ,20191231,7.1,7.1,6.98,7.04,7.11,-0.07000000000000028,-0.9845,127711.0,89789.611
000627.SZ,20191230,6.85,7.11,6.79,7.11,6.88,0.23000000000000043,3.343,241145.95,168513.354
000627.SZ,20191227,6.94,7.03,6.88,6.88,6.93,-0.04999999999999982,-0.7215,139978.68,97644.941
000627.SZ,20191226,6.9,6.93,6.85,6.93,6.88,0.04999999999999982,0.7267,72920.94,50267.68
000627.SZ,20191225,6.9,6.93,6.83,6.88,6.9,-0.020000000000000462,-0.2899,72197.01,49604.602
000627.SZ,20191224,6.86,6.91,6.75,6.9,6.82,0.08000000000000007,1.173,106895.28,73001.337
000627.SZ,20191223,6.9,7.1,6.8,6.82,6.93,-0.10999999999999943,-1.5873,197785.16,137768.772
000627.SZ,20191220,6.84,7.02,6.83,6.93,6.91,0.019999999999999574,0.2894,217398.54,150855.81
000627.SZ,20191219,6.89,6.96,6.84,6.91,6.88,0.03000000000000025,0.436,110316.09,76006.552
000627.SZ,20191218,6.85,6.96,6.8,6.88,6.9,-0.020000000000000462,-0.2899,144800.6,99892.913
000627.SZ,20191217,6.76,7.03,6.73,6.9,6.77,0.13000000000000078,1.9202,217880.4,150280.323
000627.SZ,20191216,6.75,6.77,6.68,6.77,6.75,0.019999999999999574,0.2963,94583.46,63672.64
000627.SZ,20191213,6.61,6.76,6.61,6.75,6.57,0.17999999999999972,2.7397,169654.66,113896.789
000627.SZ,20191212,6.63,6.64,6.57,6.57,6.61,-0.040000000000000036,-0.6051,43572.88,28754.251
000627.SZ,20191211,6.62,6.67,6.6,6.61,6.62,-0.009999999999999787,-0.1511,71546.04,47455.818
000627.SZ,20191210,6.65,6.66,6.61,6.62,6.65,-0.03000000000000025,-0.4511,55233.96,36642.118
