ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000516.SZ,20200408,4.21,4.33,4.2,4.24,4.24,0.0,0.0,121534.62,51763.716
000516.SZ,20200407,4.21,4.25,4.2,4.24,4.17,0.07000000000000028,1.6787,107429.43,45388.733
000516.SZ,20200403,4.19,4.26,4.16,4.17,4.19,-0.020000000000000462,-0.4773,91448.81,38471.478
000516.SZ,20200402,4.12,4.19,4.04,4.19,4.15,0.040000000000000036,0.9639,136956.93,56223.271
000516.SZ,20200401,4.2,4.23,4.14,4.15,4.19,-0.040000000000000036,-0.9547,100172.99,41881.953
000516.SZ,20200331,4.24,4.25,4.18,4.19,4.22,-0.02999999999999936,-0.7109,94902.03,39934.182
000516.SZ,20200330,4.34,4.34,4.19,4.22,4.37,-0.15000000000000036,-3.4325,165419.0,70099.619
000516.SZ,20200327,4.44,4.45,4.34,4.37,4.42,-0.04999999999999982,-1.1312,137400.36,60497.411
000516.SZ,20200326,4.4,4.45,4.36,4.42,4.4,0.019999999999999574,0.4545,123715.22,54604.905
000516.SZ,20200325,4.42,4.47,4.38,4.4,4.36,0.040000000000000036,0.9174,184279.22,81363.25
000516.SZ,20200324,4.42,4.43,4.3,4.36,4.36,0.0,0.0,159747.11,69563.21
000516.SZ,20200323,4.41,4.46,4.32,4.36,4.48,-0.1200000000000001,-2.6786,173639.78,76179.786
000516.SZ,20200320,4.52,4.56,4.43,4.48,4.48,0.0,0.0,163286.26,73058.886
000516.SZ,20200319,4.53,4.6,4.37,4.48,4.58,-0.09999999999999964,-2.1834,298766.17,133557.242
000516.SZ,20200318,4.74,4.77,4.57,4.58,4.67,-0.08999999999999986,-1.9272,194521.32,90867.564
000516.SZ,20200317,4.79,4.85,4.55,4.67,4.77,-0.09999999999999964,-2.0964,331646.24,154716.573
000516.SZ,20200316,4.82,4.97,4.76,4.77,4.77,0.0,0.0,395217.2,192448.848
000516.SZ,20200313,4.7,4.84,4.66,4.77,4.89,-0.1200000000000001,-2.454,306679.6,146338.031
000516.SZ,20200312,4.8,4.96,4.77,4.89,4.83,0.05999999999999961,1.2422,387304.55,188643.235
000516.SZ,20200311,4.81,4.96,4.77,4.83,4.79,0.040000000000000036,0.8351,314590.85,152804.959
000516.SZ,20200310,4.77,4.84,4.54,4.79,4.92,-0.1299999999999999,-2.6423,414558.46,196457.334
000516.SZ,20200309,4.78,5.11,4.77,4.92,4.81,0.11000000000000032,2.2869,576768.18,285960.396
000516.SZ,20200306,4.82,4.86,4.78,4.81,4.83,-0.020000000000000462,-0.4141,167876.11,80902.456
000516.SZ,20200305,4.83,4.87,4.76,4.83,4.79,0.040000000000000036,0.8351,225105.96,108209.362
000516.SZ,20200304,4.8,4.83,4.69,4.79,4.83,-0.040000000000000036,-0.8282,186531.71,88888.146
000516.SZ,20200303,4.83,4.95,4.77,4.83,4.77,0.0600000000000005,1.2579,260587.02,126575.457
000516.SZ,20200302,4.68,4.8,4.68,4.77,4.68,0.08999999999999986,1.9231,127632.7,60591.05
000516.SZ,20200228,4.7,4.86,4.65,4.68,4.73,-0.05000000000000071,-1.0571,212879.52,100904.11
000516.SZ,20200227,4.79,4.81,4.72,4.73,4.78,-0.04999999999999982,-1.046,158530.87,75337.908
000516.SZ,20200226,4.81,4.86,4.75,4.78,4.85,-0.0699999999999994,-1.4433,186534.0,89588.606
000516.SZ,20200225,4.83,4.9,4.74,4.85,4.9,-0.05000000000000071,-1.0204,254836.55,123131.371
000516.SZ,20200224,4.88,4.96,4.88,4.9,4.94,-0.040000000000000036,-0.8097,192149.5,94247.426
000516.SZ,20200221,4.92,5.0,4.9,4.94,4.94,0.0,0.0,193115.22,95752.938
000516.SZ,20200220,4.92,4.95,4.88,4.94,4.91,0.03000000000000025,0.611,172172.5,84748.596
000516.SZ,20200219,4.89,5.02,4.83,4.91,4.91,0.0,0.0,276679.55,135790.853
000516.SZ,20200218,4.94,5.0,4.86,4.91,5.03,-0.1200000000000001,-2.3857,316830.04,156021.893
000516.SZ,20200217,4.69,5.1,4.68,5.03,4.67,0.3600000000000003,7.7088,420031.24,203692.851
000516.SZ,20200214,4.7,4.73,4.63,4.67,4.7,-0.03000000000000025,-0.6383,151411.0,70853.731
000516.SZ,20200213,4.81,4.81,4.68,4.7,4.81,-0.10999999999999943,-2.2869,202754.83,95725.105
000516.SZ,20200212,4.79,4.88,4.76,4.81,4.81,0.0,0.0,234114.7,112257.994
000516.SZ,20200211,4.88,4.93,4.77,4.81,4.92,-0.11000000000000032,-2.2358,241581.17,116642.413
000516.SZ,20200210,5.05,5.06,4.89,4.92,5.05,-0.1299999999999999,-2.5743,306451.45,151256.173
000516.SZ,20200207,5.27,5.33,4.99,5.05,5.1,-0.04999999999999982,-0.9804,467368.4,239469.853
000516.SZ,20200206,4.96,5.19,4.87,5.1,4.95,0.14999999999999947,3.0303,431733.43,219387.545
000516.SZ,20200205,4.82,5.09,4.81,4.95,4.81,0.14000000000000057,2.9106,421224.4,209419.391
000516.SZ,20200204,4.44,4.85,4.44,4.81,4.41,0.39999999999999947,9.0703,509292.19,240591.561
000516.SZ,20200203,4.41,4.66,4.41,4.41,4.9,-0.4900000000000002,-10.0,402716.2,180531.34
000516.SZ,20200123,5.08,5.13,4.89,4.9,5.07,-0.16999999999999993,-3.3531,198819.3,99033.216
000516.SZ,20200122,5.17,5.18,5.03,5.07,5.17,-0.09999999999999964,-1.9342,155329.0,78745.163
000516.SZ,20200121,5.19,5.33,5.13,5.17,5.17,0.0,0.0,212563.36,110930.011
000516.SZ,20200120,5.13,5.19,5.13,5.17,5.1,0.07000000000000028,1.3725,110423.96,56967.539
000516.SZ,20200117,5.11,5.18,5.09,5.1,5.12,-0.020000000000000462,-0.3906,106594.5,54714.74
000516.SZ,20200116,5.13,5.17,5.09,5.12,5.12,0.0,0.0,98029.4,50279.223
000516.SZ,20200115,5.16,5.18,5.08,5.12,5.16,-0.040000000000000036,-0.7752,118464.51,60559.895
000516.SZ,20200114,5.21,5.21,5.12,5.16,5.2,-0.040000000000000036,-0.7692,136504.0,70408.238
000516.SZ,20200113,5.12,5.25,5.11,5.2,5.12,0.08000000000000007,1.5625,211730.06,109832.496
000516.SZ,20200110,5.05,5.17,5.01,5.12,5.05,0.07000000000000028,1.3861,231883.94,118158.831
000516.SZ,20200109,4.87,5.12,4.85,5.05,4.85,0.20000000000000018,4.1237,321054.19,161611.693
000516.SZ,20200108,4.89,4.91,4.8,4.85,4.91,-0.0600000000000005,-1.222,135621.63,65776.325
000516.SZ,20200107,4.87,4.92,4.85,4.91,4.88,0.03000000000000025,0.6148,98986.47,48457.428
000516.SZ,20200106,4.86,4.93,4.81,4.88,4.84,0.040000000000000036,0.8264,147133.75,71947.269
000516.SZ,20200103,4.88,4.94,4.81,4.84,4.86,-0.020000000000000462,-0.4115,114910.28,55786.427
000516.SZ,20200102,4.87,4.91,4.82,4.86,4.85,0.010000000000000675,0.2062,185171.09,90077.972
000516.SZ,20191231,4.65,4.91,4.65,4.85,4.65,0.1999999999999993,4.3011,301950.85,145679.211
000516.SZ,20191230,4.54,4.69,4.52,4.65,4.55,0.10000000000000053,2.1978,164989.22,76398.355
000516.SZ,20191227,4.54,4.59,4.52,4.55,4.54,0.009999999999999787,0.2203,87140.44,39748.599
000516.SZ,20191226,4.54,4.56,4.5,4.54,4.53,0.009999999999999787,0.2208,73362.09,33241.097
000516.SZ,20191225,4.54,4.57,4.51,4.53,4.55,-0.019999999999999574,-0.4396,58521.65,26552.704
000516.SZ,20191224,4.53,4.56,4.53,4.55,4.52,0.03000000000000025,0.6637,56951.5,25869.978
000516.SZ,20191223,4.65,4.65,4.51,4.52,4.63,-0.11000000000000032,-2.3758,83796.57,38397.152
000516.SZ,20191220,4.73,4.73,4.61,4.63,4.72,-0.08999999999999986,-1.9068,100934.44,47126.0
000516.SZ,20191219,4.71,4.74,4.7,4.72,4.71,0.009999999999999787,0.2123,59229.38,27937.463
000516.SZ,20191218,4.78,4.78,4.7,4.71,4.76,-0.04999999999999982,-1.0504,100513.0,47597.63
000516.SZ,20191217,4.65,4.79,4.62,4.76,4.65,0.10999999999999943,2.3656,190309.07,90124.686
000516.SZ,20191216,4.47,4.67,4.46,4.65,4.47,0.1800000000000006,4.0268,166630.01,76608.282
000516.SZ,20191213,4.45,4.48,4.41,4.47,4.41,0.05999999999999961,1.3605,89665.81,39854.853
000516.SZ,20191212,4.52,4.52,4.4,4.41,4.52,-0.10999999999999943,-2.4336,115694.38,51655.453
000516.SZ,20191211,4.53,4.55,4.51,4.52,4.53,-0.010000000000000675,-0.2208,41557.88,18840.535
000516.SZ,20191210,4.53,4.55,4.5,4.53,4.53,0.0,0.0,43415.13,19627.617
000516.SZ,20191209,4.57,4.57,4.52,4.53,4.55,-0.019999999999999574,-0.4396,44858.0,20344.84
000516.SZ,20191206,4.54,4.58,4.53,4.55,4.54,0.009999999999999787,0.2203,38774.0,17669.718
000516.SZ,20191205,4.5,4.55,4.5,4.54,4.49,0.04999999999999982,1.1136,49316.75,22317.613
000516.SZ,20191204,4.49,4.51,4.48,4.49,4.5,-0.009999999999999787,-0.2222,40449.13,18173.399
000516.SZ,20191203,4.52,4.52,4.47,4.5,4.52,-0.019999999999999574,-0.4425,59239.82,26596.935
000516.SZ,20191202,4.57,4.58,4.51,4.52,4.57,-0.05000000000000071,-1.0941,53549.5,24305.796
000516.SZ,20191129,4.58,4.59,4.51,4.57,4.58,-0.009999999999999787,-0.2183,53649.18,24397.808
000516.SZ,20191128,4.58,4.62,4.57,4.58,4.59,-0.009999999999999787,-0.2179,43725.5,20064.799
000516.SZ,20191127,4.61,4.63,4.59,4.59,4.61,-0.020000000000000462,-0.4338,34887.5,16077.784
000516.SZ,20191126,4.65,4.66,4.61,4.61,4.65,-0.040000000000000036,-0.8602,41124.5,19013.352
000516.SZ,20191125,4.62,4.66,4.6,4.65,4.63,0.020000000000000462,0.432,45116.92,20894.861
000516.SZ,20191122,4.63,4.68,4.61,4.63,4.63,0.0,0.0,44094.35,20473.843
000516.SZ,20191121,4.65,4.68,4.61,4.63,4.64,-0.009999999999999787,-0.2155,43400.85,20127.833
000516.SZ,20191120,4.68,4.68,4.64,4.64,4.68,-0.040000000000000036,-0.8547,40402.0,18823.368
000516.SZ,20191119,4.64,4.68,4.62,4.68,4.63,0.04999999999999982,1.0799,59683.5,27806.422
000516.SZ,20191118,4.63,4.64,4.6,4.63,4.63,0.0,0.0,42237.07,19539.837
000516.SZ,20191115,4.64,4.67,4.63,4.63,4.64,-0.009999999999999787,-0.2155,35928.78,16680.803
000516.SZ,20191114,4.66,4.68,4.63,4.64,4.66,-0.020000000000000462,-0.4292,51318.01,23859.535
000516.SZ,20191113,4.68,4.69,4.65,4.66,4.67,-0.009999999999999787,-0.2141,36572.95,17047.119
000516.SZ,20191112,4.68,4.7,4.63,4.67,4.67,0.0,0.0,55002.34,25626.866
000516.SZ,20191111,4.77,4.77,4.65,4.67,4.78,-0.11000000000000032,-2.3013,112853.0,53134.838
