ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600657.SH,20200408,3.73,3.74,3.67,3.72,3.75,-0.029999999999999805,-0.8,84275.5,31252.1
600657.SH,20200407,3.81,3.83,3.73,3.75,3.76,-0.009999999999999787,-0.266,130867.24,49303.99
600657.SH,20200403,3.74,3.78,3.71,3.76,3.77,-0.010000000000000231,-0.2653,111105.03,41598.488
600657.SH,20200402,3.56,3.78,3.56,3.77,3.59,0.18000000000000016,5.0139,190823.39,70676.716
600657.SH,20200401,3.54,3.64,3.52,3.59,3.49,0.09999999999999964,2.8653,160805.62,57836.211
600657.SH,20200331,3.51,3.56,3.48,3.49,3.48,0.010000000000000231,0.2874,60304.36,21182.687
600657.SH,20200330,3.46,3.5,3.43,3.48,3.5,-0.020000000000000018,-0.5714,64934.33,22502.118
600657.SH,20200327,3.51,3.57,3.48,3.5,3.47,0.029999999999999805,0.8646,73845.0,26049.918
600657.SH,20200326,3.51,3.52,3.46,3.47,3.52,-0.04999999999999982,-1.4205,58335.1,20331.42
600657.SH,20200325,3.48,3.57,3.45,3.52,3.43,0.08999999999999986,2.6239,97773.73,34314.059
600657.SH,20200324,3.4,3.45,3.38,3.43,3.38,0.050000000000000266,1.4793,55649.0,19043.927
600657.SH,20200323,3.45,3.45,3.36,3.38,3.51,-0.1299999999999999,-3.7037,73722.29,25041.649
600657.SH,20200320,3.45,3.53,3.41,3.51,3.43,0.07999999999999963,2.3324,78988.59,27396.511
600657.SH,20200319,3.47,3.51,3.35,3.43,3.47,-0.040000000000000036,-1.1527,89245.74,30533.091
600657.SH,20200318,3.6,3.64,3.46,3.47,3.6,-0.1299999999999999,-3.6111,103135.89,36747.126
600657.SH,20200317,3.57,3.7,3.5,3.6,3.62,-0.020000000000000018,-0.5525,107748.03,38753.869
600657.SH,20200316,3.73,3.74,3.61,3.62,3.71,-0.08999999999999986,-2.4259,134838.44,49825.496
600657.SH,20200313,3.57,3.71,3.5,3.71,3.71,0.0,0.0,131713.1,47658.122
600657.SH,20200312,3.67,3.78,3.62,3.71,3.72,-0.010000000000000231,-0.2688,112158.55,41474.633
600657.SH,20200311,3.73,3.8,3.7,3.72,3.74,-0.020000000000000018,-0.5348,124568.71,46596.994
600657.SH,20200310,3.62,3.78,3.62,3.74,3.67,0.07000000000000028,1.9074,141210.73,52216.884
600657.SH,20200309,3.79,3.81,3.66,3.67,3.87,-0.20000000000000018,-5.168,202144.88,75329.615
600657.SH,20200306,3.93,3.96,3.8,3.87,4.02,-0.14999999999999947,-3.7313,236921.91,91811.703
600657.SH,20200305,3.94,4.1,3.85,4.02,3.95,0.0699999999999994,1.7722,502187.19,201281.498
600657.SH,20200304,3.58,3.95,3.57,3.95,3.59,0.3600000000000003,10.0279,427981.71,164646.018
600657.SH,20200303,3.61,3.65,3.55,3.59,3.58,0.009999999999999787,0.2793,99148.35,35604.21
600657.SH,20200302,3.44,3.62,3.44,3.58,3.47,0.10999999999999988,3.17,117800.34,42145.018
600657.SH,20200228,3.47,3.52,3.42,3.47,3.54,-0.06999999999999984,-1.9774,132159.17,45844.24
600657.SH,20200227,3.52,3.57,3.5,3.54,3.51,0.03000000000000025,0.8547,108651.47,38436.471
600657.SH,20200226,3.38,3.57,3.36,3.51,3.42,0.08999999999999986,2.6316,140837.77,49341.948
600657.SH,20200225,3.41,3.46,3.37,3.42,3.48,-0.06000000000000005,-1.7241,90441.81,30920.389
600657.SH,20200224,3.54,3.54,3.46,3.48,3.54,-0.06000000000000005,-1.6949,89349.9,31163.526
600657.SH,20200221,3.55,3.57,3.52,3.54,3.55,-0.009999999999999787,-0.2817,77792.59,27586.63
600657.SH,20200220,3.51,3.56,3.48,3.55,3.51,0.040000000000000036,1.1396,87486.68,30752.493
600657.SH,20200219,3.51,3.55,3.48,3.51,3.51,0.0,0.0,61710.19,21693.568
600657.SH,20200218,3.58,3.58,3.48,3.51,3.57,-0.06000000000000005,-1.6807,84928.55,29887.602
600657.SH,20200217,3.53,3.58,3.5,3.57,3.52,0.04999999999999982,1.4205,113294.67,40134.825
600657.SH,20200214,3.44,3.52,3.41,3.52,3.43,0.08999999999999986,2.6239,92604.59,32155.471
600657.SH,20200213,3.46,3.52,3.43,3.43,3.46,-0.029999999999999805,-0.8671,68547.25,23793.992
600657.SH,20200212,3.44,3.48,3.4,3.46,3.43,0.029999999999999805,0.8746,59175.2,20374.086
600657.SH,20200211,3.43,3.51,3.41,3.43,3.43,0.0,0.0,69918.55,24164.928
600657.SH,20200210,3.35,3.44,3.33,3.43,3.38,0.050000000000000266,1.4793,75758.9,25702.089
600657.SH,20200207,3.38,3.41,3.32,3.38,3.37,0.009999999999999787,0.2967,70241.01,23592.34
600657.SH,20200206,3.33,3.41,3.26,3.37,3.31,0.06000000000000005,1.8127,75735.68,25304.229
600657.SH,20200205,3.28,3.36,3.24,3.31,3.25,0.06000000000000005,1.8462,91297.37,30220.983
600657.SH,20200204,3.05,3.29,3.05,3.25,3.31,-0.06000000000000005,-1.8127,153149.69,49494.972
600657.SH,20200203,3.31,3.31,3.31,3.31,3.68,-0.3700000000000001,-10.0543,49974.0,16541.394
600657.SH,20200123,3.81,3.82,3.66,3.68,3.84,-0.1599999999999997,-4.1667,78162.01,29211.54
600657.SH,20200122,3.83,3.86,3.75,3.84,3.84,0.0,0.0,45438.73,17307.4
600657.SH,20200121,3.89,3.89,3.82,3.84,3.9,-0.06000000000000005,-1.5385,60104.93,23075.232
600657.SH,20200120,3.85,3.9,3.82,3.9,3.86,0.040000000000000036,1.0363,47574.97,18339.842
600657.SH,20200117,3.88,3.92,3.85,3.86,3.89,-0.03000000000000025,-0.7712,34095.46,13228.349
600657.SH,20200116,3.91,3.93,3.87,3.89,3.91,-0.020000000000000018,-0.5115,47011.29,18318.847
600657.SH,20200115,3.94,3.95,3.91,3.91,3.95,-0.040000000000000036,-1.0127,40945.85,16053.601
600657.SH,20200114,3.96,4.0,3.94,3.95,3.98,-0.029999999999999805,-0.7538,56977.0,22575.721
600657.SH,20200113,3.94,3.98,3.9,3.98,3.94,0.040000000000000036,1.0152,92354.74,36329.724
600657.SH,20200110,3.99,3.99,3.91,3.94,3.97,-0.03000000000000025,-0.7557,62362.66,24592.899
600657.SH,20200109,3.96,4.01,3.94,3.97,3.94,0.03000000000000025,0.7614,59659.9,23696.302
600657.SH,20200108,4.01,4.01,3.92,3.94,4.02,-0.07999999999999963,-1.99,75279.8,29815.629
600657.SH,20200107,3.98,4.03,3.98,4.02,3.98,0.03999999999999959,1.005,54610.33,21867.643
600657.SH,20200106,4.01,4.03,3.96,3.98,4.03,-0.050000000000000266,-1.2407,80650.84,32181.139
600657.SH,20200103,4.04,4.06,4.01,4.03,4.03,0.0,0.0,62545.26,25211.465
600657.SH,20200102,4.03,4.08,4.02,4.03,3.99,0.040000000000000036,1.0025,79536.25,32198.036
600657.SH,20191231,3.98,3.99,3.94,3.99,3.98,0.010000000000000231,0.2513,48328.97,19167.36
600657.SH,20191230,3.93,3.98,3.91,3.98,3.93,0.04999999999999982,1.2723,97821.63,38667.656
600657.SH,20191227,3.92,3.98,3.9,3.93,3.92,0.010000000000000231,0.2551,89451.23,35345.772
600657.SH,20191226,3.86,3.93,3.85,3.92,3.83,0.08999999999999986,2.3499,75524.2,29446.182
600657.SH,20191225,3.89,3.89,3.82,3.83,3.89,-0.06000000000000005,-1.5424,60490.34,23290.225
600657.SH,20191224,3.83,3.89,3.82,3.89,3.82,0.07000000000000028,1.8325,44508.2,17177.822
600657.SH,20191223,3.96,3.96,3.81,3.82,3.96,-0.14000000000000012,-3.5354,85308.7,33185.806
600657.SH,20191220,3.91,3.98,3.91,3.96,3.92,0.040000000000000036,1.0204,85402.64,33741.319
600657.SH,20191219,3.88,3.93,3.86,3.92,3.88,0.040000000000000036,1.0309,61405.87,23932.626
600657.SH,20191218,3.86,3.93,3.85,3.88,3.87,0.009999999999999787,0.2584,83547.4,32476.082
600657.SH,20191217,3.78,3.92,3.76,3.87,3.78,0.0900000000000003,2.381,121703.53,46885.436
600657.SH,20191216,3.75,3.79,3.73,3.78,3.75,0.029999999999999805,0.8,61124.45,22964.906
600657.SH,20191213,3.72,3.76,3.71,3.75,3.71,0.040000000000000036,1.0782,64681.63,24159.163
600657.SH,20191212,3.78,3.78,3.7,3.71,3.76,-0.04999999999999982,-1.3298,36512.0,13590.635
600657.SH,20191211,3.77,3.79,3.75,3.76,3.76,0.0,0.0,41400.76,15583.017
600657.SH,20191210,3.74,3.77,3.73,3.76,3.73,0.029999999999999805,0.8043,59135.23,22177.833
600657.SH,20191209,3.73,3.76,3.72,3.73,3.72,0.009999999999999787,0.2688,67031.88,25023.736
600657.SH,20191206,3.74,3.74,3.7,3.72,3.73,-0.009999999999999787,-0.2681,46239.9,17179.014
600657.SH,20191205,3.72,3.75,3.71,3.73,3.72,0.009999999999999787,0.2688,48788.28,18178.093
600657.SH,20191204,3.75,3.78,3.69,3.72,3.74,-0.020000000000000018,-0.5348,47899.29,17838.185
600657.SH,20191203,3.73,3.76,3.71,3.74,3.75,-0.009999999999999787,-0.2667,30906.64,11558.829
600657.SH,20191202,3.71,3.78,3.71,3.75,3.7,0.04999999999999982,1.3514,49684.48,18589.829
600657.SH,20191129,3.66,3.72,3.64,3.7,3.66,0.040000000000000036,1.0929,69941.86,25819.069
600657.SH,20191128,3.68,3.7,3.65,3.66,3.68,-0.020000000000000018,-0.5435,34021.18,12477.679
600657.SH,20191127,3.65,3.71,3.64,3.68,3.65,0.03000000000000025,0.8219,56882.15,20920.727
600657.SH,20191126,3.67,3.69,3.64,3.65,3.68,-0.03000000000000025,-0.8152,48194.02,17651.325
600657.SH,20191125,3.62,3.71,3.59,3.68,3.61,0.07000000000000028,1.9391,94311.21,34572.354
600657.SH,20191122,3.61,3.66,3.58,3.61,3.62,-0.010000000000000231,-0.2762,52290.85,18941.353
600657.SH,20191121,3.6,3.63,3.59,3.62,3.61,0.010000000000000231,0.277,31976.76,11546.367
600657.SH,20191120,3.64,3.64,3.61,3.61,3.64,-0.03000000000000025,-0.8242,39926.04,14468.03
600657.SH,20191119,3.6,3.65,3.58,3.64,3.6,0.040000000000000036,1.1111,53423.6,19361.996
600657.SH,20191118,3.6,3.62,3.56,3.6,3.6,0.0,0.0,50435.43,18129.207
600657.SH,20191115,3.63,3.64,3.59,3.6,3.63,-0.029999999999999805,-0.8264,38694.81,13964.777
600657.SH,20191114,3.64,3.66,3.62,3.63,3.64,-0.010000000000000231,-0.2747,46930.52,17088.889
600657.SH,20191113,3.65,3.65,3.61,3.64,3.65,-0.009999999999999787,-0.274,50752.52,18414.404
600657.SH,20191112,3.67,3.68,3.63,3.65,3.67,-0.020000000000000018,-0.545,49599.91,18104.221
